eps,chi2_sn,s0,M_B,delta_eps0
-0.4,1749.0015134137645,0.6933334258637434,-19.33093414137563,-4.142349212192812
-0.39,1749.0156357299556,0.6891743576690555,-19.331216038080292,-4.128226896001706
-0.38,1749.0360550781152,0.6849226069039038,-19.331496368219444,-4.107807547842185
-0.37,1749.0626359988894,0.6805749593547301,-19.331775111564998,-4.081226627067963
-0.36,1749.09524299559,0.6761279909532943,-19.332052266220483,-4.048619630367284
-0.35,1749.133740545903,0.6715781917926205,-19.33232780627088,-4.010122080054316
-0.34,1749.1779931135536,0.6669217524384085,-19.332601725486604,-3.965869512403742
-0.33,1749.227865159874,0.6621547192258365,-19.332874015631386,-3.915997466083354
-0.32,1749.283221155368,0.6572729088109119,-19.333144660064956,-3.8606414705893712
-0.31,1749.3439255911671,0.6522719090132508,-19.333413649824628,-3.7999370347902186
-0.3,1749.4098429904693,0.6471470188654008,-19.333680966447705,-3.734019635488039
-0.29,1749.4808379199362,0.6418932928719323,-19.333946601066142,-3.663024706021133
-0.28,1749.5567750010005,0.6365054429710709,-19.334210555600247,-3.5870876249568937
-0.27,1749.6375189211797,0.6309779214747584,-19.33447279649655,-3.5063437047776915
-0.26,1749.7229344453185,0.6253047585708169,-19.334733325810124,-3.420928180638839
-0.25,1749.8128864268053,0.6194796470647224,-19.334992122337848,-3.330976199152019
-0.24,1749.9072398187468,0.6134958171334741,-19.335249180642965,-3.2366228072105514
-0.23,1750.0058596851209,0.6073460611314366,-19.335504485996726,-3.1380029408364862
-0.22,1750.108611211897,0.6010226255767559,-19.335758024607646,-3.03525141406044
-0.21,1750.2153597181357,0.5945172531490498,-19.33600978962762,-2.9285029078216667
-0.2,1750.3259706670558,0.5878210478831875,-19.33625975805693,-2.817891958901555
-0.19,1750.4403096771118,0.5809243511284352,-19.33650792655271,-2.7035529488455268
-0.18,1750.5582425330226,0.5738168056158276,-19.336754286277948,-2.5856200929347324
-0.17,1750.6796351968264,0.5664872098141062,-19.33699883144789,-2.464227429130915
-0.16,1750.8043538189108,0.5589234492732789,-19.337241521652157,-2.3395088070465135
-0.15,1750.9322647490526,0.5511122477049718,-19.337482361249577,-2.2115978769047615
-0.14,1751.0632345474603,0.543039031336425,-19.337721355143728,-2.0806280784970568
-0.13,1751.1971299958268,0.5346881176830806,-19.337958466311512,-1.9467326301305548
-0.12,1751.3338181084005,0.5260420684355662,-19.338193687074163,-1.8100445175568893
-0.11,1751.4731661430837,0.5170816257232761,-19.33842701581678,-1.670696482873609
-0.1,1751.6150416125352,0.5077855327582015,-19.338658432868737,-1.5288210134222027
-0.09,1751.7593122953313,0.49813014572315945,-19.338887932537194,-1.384550330626098
-0.08,1751.9058462471585,0.48808902758484535,-19.339115481655288,-1.238016378798875
-0.07,1752.0545118120383,0.47763225089413713,-19.339341095322425,-1.0893508139190544
-0.06,1752.2051776336302,0.4667262573027184,-19.339564733371976,-0.9386849923271257
-0.05,1752.3577126665557,0.45533240391431384,-19.339786412461606,-0.786149959401655
-0.04,1752.511986187836,0.44340658872571975,-19.340006111205764,-0.6318764381212532
-0.03,1752.6678678083558,0.43089776647797107,-19.340223798582816,-0.4759948176015314
-0.02,1752.8252274844513,0.4177460493584936,-19.340439474487138,-0.3186351415060926
-0.01,1752.983935529554,0.4038804854789231,-19.340653128841748,-0.15992709640340763
0.0,1753.1438626259574,0.3892161379345797,-19.340864751345205,0.0
0.01,1753.3048798366901,0.37364968568619206,-19.341074324199163,0.16101721073277986
0.02,1753.466858617474,0.35705298155031034,-19.341281823031796,0.32299599151656366
0.03,1753.6296708288705,0.33926359128273165,-19.341487252529976,0.4858082029131765
0.04,1753.7931887485136,0.32007067566568365,-19.341690591948346,0.6493261225562037
0.05,1753.9572850835093,0.29919035356655244,-19.341891823639692,0.8134224575519511
0.06,1754.121832983016,0.27622500232561875,-19.34209093820314,0.9779703570586662
0.07,1754.2867060509582,0.2505841040138125,-19.34228793796994,1.1428434250008195
0.08,1754.4517783589713,0.22131947414892594,-19.342482777266266,1.3079157330139424
0.09,1754.6169244595212,0.18670887908898615,-19.342675469755573,1.473061833563861
0.1,1754.782019399242,0.1428853646281151,-19.342865977776665,1.6381567732846634
0.11,1754.946938732507,0.07509845523370909,-19.343054308673853,1.8030761065497245
0.12,1755.129750210975,0.0010000002398655044,-19.342519236521404,1.9858875850177355
0.13,1755.399138309165,0.0010000001491557056,-19.341548576897598,2.2552756832076284
0.14,1755.7621182304651,0.00100000013926893,-19.340576386419837,2.6182556045077945
0.15,1756.2191281717962,0.0010000001301007312,-19.3396026670732,3.0752655458388745
0.16,1756.7706010650984,0.0010000000379174845,-19.338627432093737,3.626738439141036
0.17,1757.4169645839077,0.0010000000001675418,-19.33765068327139,4.273101957950303
0.18,1758.1586411506223,0.001000000127990496,-19.336672427671687,5.014778524664962
0.19,1758.996047944527,0.0010000000017008548,-19.335692674672565,5.852185318569582
0.2,1759.9295969106397,0.0010000000448565326,-19.33471142788974,6.7857342846823485
