eps,n,s0,H0rd,M_B,chi2_total,delta_lcdm,delta_eps0
-1.6,1.1,0.9644698547348902,9551.83009733933,-19.033136517087758,10608.920945486432,8836.464945486432,8836.357280416203
-1.59,1.09,0.964305726750197,9512.720524456896,-19.033378379878613,10445.930783147069,8673.474783147069,8673.36711807684
-1.58,1.08,0.9641290613540834,9475.020312366483,-19.03372820243727,10284.431132623584,8511.975132623584,8511.867467553355
-1.57,1.07,0.9639400389182478,9438.684330871576,-19.03418206724648,10124.450098930298,8351.994098930298,8351.886433860069
-1.56,1.06,0.9637388259705523,9403.66890152339,-19.034736175911107,9966.013891149585,8193.557891149585,8193.450226079356
-1.55,1.05,0.9635255536803898,9369.933440964247,-19.035386917823,9809.146900876585,8036.690900876585,8036.583235806356
-1.54,1.04,0.9633003424105516,9337.438081621574,-19.036130778654073,9653.871776604858,7881.4157766048575,7881.308111534629
-1.53,1.03,0.9630632826072121,9306.14604157312,-19.036964426529774,9500.209494337198,7727.7534943371975,7727.645829266969
-1.52,1.02,0.9628144564987099,9276.020961748149,-19.037884573300275,9348.17942468296,7575.723424682959,7575.6157596127305
-1.51,1.01,0.9625539284813704,9247.028275986253,-19.038888042427516,9197.799396681252,7425.343396681252,7425.235731611023
-1.5,1.0,0.9622817382305346,9219.135451090331,-19.039971831727748,9049.08575857004,7276.6297585700395,7276.522093499811
-1.49,0.99,0.9619979178403417,9192.31087209544,-19.04113297522514,8902.053435703467,7129.5974357034665,7129.489770633238
-1.48,0.98,0.9617024849121301,9166.523968158943,-19.042368605695117,8756.715985803135,6984.259985803135,6984.152320732906
-1.47,0.97,0.9613954327524354,9141.746273404136,-19.04367603288367,8613.085651714799,6840.6296517147985,6840.52198664457
-1.46,0.96,0.9610767548190802,9117.949460521717,-19.04505254476111,8471.17341182805,6698.717411828049,6698.60974675782
-1.45,0.95,0.9607464184907996,9095.107504689946,-19.046495594025135,8330.98902830443,6558.5330283044295,6558.425363234201
-1.44,0.94,0.9604043913972079,9073.194032448962,-19.04800265136855,8192.541093248337,6420.085093248337,6419.977428178108
-1.43,0.9299999999999999,0.9600506203440174,9052.184654614592,-19.049571325108346,8055.837072944442,6283.381072944442,6283.273407874213
-1.42,0.9199999999999999,0.9596850389587912,9032.055957219458,-19.05119927043389,7920.883350276139,6148.427350276139,6148.31968520591
-1.41,0.9099999999999999,0.9593075768037849,9012.784696258337,-19.052884216033256,7787.6852654312925,6015.229265431292,6015.121600361063
-1.4,0.8999999999999999,0.9589181474123372,8994.349266272213,-19.054623953237556,7656.247154992715,5883.791154992715,5883.683489922486
-1.39,0.8899999999999999,0.9585166496612976,8976.7287776901,-19.056416395231878,7526.572389505,5754.1163895049995,5754.008724434771
-1.38,0.8799999999999999,0.9581029820082991,8959.902137107103,-19.05825940012305,7398.66340960108,5626.20740960108,5626.099744530851
-1.37,0.8700000000000001,0.957677019708707,8943.850595181419,-19.060151042010077,7272.521760767314,5500.065760767314,5499.958095697085
-1.36,0.8600000000000001,0.9572386364718243,8928.554856147703,-19.062089349334403,7148.1481268192065,5375.692126819206,5375.584461748977
-1.35,0.8500000000000001,0.9567876969470869,8913.9965320484,-19.064072400651312,7025.542362155411,5253.086362155411,5252.978697085182
-1.34,0.8400000000000001,0.9563240440277785,8900.158648386732,-19.06609841636216,6904.703522852617,5132.247522852617,5132.139857782388
-1.33,0.8300000000000001,0.9558475203345584,8887.023836633944,-19.068165585888046,6785.629896659677,5013.173896659677,5013.066231589448
-1.32,0.8200000000000001,0.955357953301177,8874.576019141656,-19.070272208770614,6668.3190319455125,4895.863031945512,4895.7553668752835
-1.31,0.81,0.954855165179522,8862.799121146982,-19.072416584285058,6552.767765651137,4780.311765651137,4780.204100580908
-1.3,0.8,0.9543389604160986,8851.678304907058,-19.07459712323338,6438.97225029351,4666.51625029351,4666.408585223281
-1.29,0.79,0.9538091412529621,8841.19844439945,-19.07681220690058,6326.927980065133,4554.471980065133,4554.364314994904
-1.28,0.78,0.9532654919221281,8831.345478097399,-19.079060308616043,6216.629816070883,4444.173816070883,4444.066151000654
-1.27,0.77,0.9527077929454822,8822.105523899889,-19.081339944236987,6108.072010740435,4335.616010740435,4335.508345670206
-1.26,0.76,0.9521358081561854,8813.46539755756,-19.08364964693194,6001.2482314530025,4228.792231453002,4228.6845663827735
-1.25,0.75,0.9515492950139524,8805.411986393045,-19.08598801956986,5896.151583407721,4123.695583407721,4123.587918337492
-1.24,0.74,0.9509479925035292,8797.933271064903,-19.08835370786783,5792.77463177202,4020.31863177202,4020.210966701791
-1.23,0.73,0.9503316405796546,8791.016785470909,-19.090745351333727,5691.109423137521,3918.653423137521,3918.545758067292
-1.22,0.72,0.9496999633336369,8784.650640209768,-19.093161646393924,5591.147506311912,3818.6915063119122,3818.5838412416833
-1.21,0.71,0.9490526627093457,8778.824032236487,-19.095601362545604,5492.879952472997,3720.4239524729965,3720.3162874027676
-1.2,0.7,0.9483894436462169,8773.525565634756,-19.098063240822686,5396.297374710042,3623.841374710042,3623.7337096398132
-1.19,0.69,0.94770999571132,8768.744441448842,-19.100546081893555,5301.3899469758435,3528.9339469758434,3528.8262819056145
-1.18,0.6799999999999999,0.9470139872570472,8764.470770625312,-19.103048761054655,5208.147422471682,3435.691422471682,3435.583757401453
-1.17,0.6699999999999999,0.9463010803984162,8760.69446002182,-19.105570128541366,5116.559151486367,3344.103151486367,3343.995486416138
-1.16,0.6599999999999999,0.9455709297860989,8757.40544595024,-19.10810906476813,5026.614098708879,3254.158098708879,3254.0504336386502
-1.15,0.6499999999999999,0.944823169563831,8754.594408469173,-19.110664508769577,4938.30086003384,3165.8448600338397,3165.737194963611
