variant,N_SN,model,k,chi2,dchi2_vs_LCDM,AIC,dAIC_vs_LCDM,BIC,p_Om,p_MB,p_H0rd,p_gamma,p_w0,p_wa,p_Ok
all,1701,LCDM,3,1772.454212834402,0.0,1778.454212834402,0.0,1794.793968131875,0.31217656799790877,-19.354961127439903,10045.807880313761,,,,
all,1701,gammaCDM,4,1763.7026134054072,-8.751599428994723,1771.7026134054072,-6.751599428994723,1793.4889538020382,0.38222781594384536,-19.342388200966216,9894.818960174547,2.8229511839020436,,,
all,1701,wCDM,4,1759.3975908319126,-13.056622002489348,1767.3975908319126,-11.056622002489348,1789.1839312285435,0.2964132952961696,-19.335505412246317,9854.7009590729,,-0.8535106984544008,,
all,1701,CPL,5,1755.7690494814183,-16.685163352983636,1765.7690494814183,-12.685163352983636,1793.0019749772068,0.32337028612976776,-19.325018104645256,9830.108374091122,,-0.763880824522769,-0.7937355995765406,
all,1701,BA,5,1756.0011771791603,-16.453035655241592,1766.0011771791603,-12.453035655241592,1793.2341026749489,0.32267255032289577,-19.3267113585939,9834.257182770893,,-0.7982424359724638,-0.37353594191674444,
all,1701,JBP,5,1755.7285218674297,-16.72569096697225,1765.7285218674297,-12.725690966972252,1792.9614473632182,0.3157910722880881,-19.323387042147598,9826.4080033834,,-0.7177828098542233,-1.262471695949134,
all,1701,oLCDM,4,1768.180086220468,-4.274126613933959,1776.180086220468,-2.2741266139339587,1797.966426617099,0.2910114092629002,-19.348661212793576,9986.48037412662,,,,0.07992850513748807
z001,1590,LCDM,3,1416.6561419788022,0.0,1422.6561419788022,0.0,1438.7950384366309,0.30526767451687553,-19.359592456396932,10096.455567574361,,,,
z001,1590,gammaCDM,4,1413.6904803715256,-2.9656616072766155,1421.6904803715256,-0.9656616072766155,1443.2090089819637,0.34410144801683323,-19.35235541240028,10007.307158259184,2.8953867106533835,,,
z001,1590,wCDM,4,1412.5336046444536,-4.122537334348635,1420.5336046444536,-2.1225373343486353,1442.0521332548917,0.2975029944332829,-19.34805062319561,9982.110425917843,,-0.9154879740453112,,
z001,1590,CPL,5,1412.3407441428058,-4.315397835996464,1422.3407441428058,-0.315397835996464,1449.2389049058536,0.30452802343953006,-19.345523658485213,9975.351789669512,,-0.8959821639214509,-0.19064583991646283,
z001,1590,BA,5,1412.2150230193304,-4.441118959471851,1422.2150230193304,-0.44111895947185076,1449.1131837823782,0.3060859237423136,-19.345310071238806,9974.78554308146,,-0.9002583598072462,-0.11638582079204338,
z001,1590,JBP,5,1412.466688113933,-4.189453864869165,1422.466688113933,-0.18945386486916505,1449.364848876981,0.3000828890431364,-19.346343509110532,9977.553169871211,,-0.8971970810850076,-0.17039532195884072,
z001,1590,oLCDM,4,1415.2554786071719,-1.400663371630344,1423.2554786071719,0.599336628369656,1444.77400721761,0.29341003653325326,-19.35601295358253,10062.104248212228,,,,0.044879288625978515
z010,960,LCDM,3,846.4874001266564,0.0,852.4874001266564,0.0,867.1285523732145,0.3028114555717496,-19.366767034002873,10114.72922196821,,,,
z010,960,gammaCDM,4,844.6017956503982,-1.8856044762582087,852.6017956503982,0.1143955237417913,872.1233319791422,0.3407555032898121,-19.35596836487457,10015.77608827944,2.903233159918008,,,
z010,960,wCDM,4,843.6424882813689,-2.8449118452875837,851.6424882813689,-0.8449118452875837,871.1640246101128,0.2981220239105193,-19.346230130891485,9957.764735507008,,-0.9060197852425,,
z010,960,CPL,5,843.301786309737,-3.1856138169193855,853.301786309737,0.8143861830806145,877.7037067206671,0.31147735062618975,-19.333880323950478,9899.06890059064,,-0.8449719860329309,-0.36740937549845065,
z010,960,BA,5,843.0751457820212,-3.412254344635244,853.0751457820212,0.5877456553647562,877.4770661929513,0.31327455265220383,-19.333229156556126,9894.686345655175,,-0.8531787613912096,-0.2074135702701952,
z010,960,JBP,5,843.5601339951011,-2.9272661315553705,853.5601339951011,1.0727338684446295,877.9620544060311,0.3027579200870709,-19.338823976921827,9923.221144233024,,-0.8602854864575405,-0.305800529609112,
z010,960,oLCDM,4,845.9438312363968,-0.5435688902596212,853.9438312363968,1.4564311097403788,873.4653675651408,0.2956944280757795,-19.36295717650539,10086.556680549518,,,,0.029632920398959872
