gamma,chi2
2.0,1037.8569886812693
2.01,1031.6094638964807
2.02,1025.8516872704745
2.03,1020.5811084526622
2.04,1015.7951768605402
2.05,1011.4892016049555
2.06,1007.4100787012761
2.07,1003.3852343011654
2.08,999.4145514144059
2.09,995.4979116276594
2.1,991.6351951198362
2.11,987.8262806775028
2.12,984.0710457102704
2.13,980.3693662662462
2.14,976.721117047447
2.15,973.1261714252588
2.16,969.5844014558974
2.17,966.0956778958579
2.18,962.6598702173833
2.19,959.2768466239298
2.2,955.9464740656418
2.21,952.668618254798
2.22,949.4431436812845
2.23,946.2699136280381
2.24,943.1487901864862
2.25,940.0796342719941
2.26,937.0623056392616
2.27,934.0966628977611
2.28,931.1825635270816
2.29,928.3198638923419
2.3,925.5084192595114
2.31,922.7480838107567
2.32,920.0387106597378
2.33,917.3801518668871
2.34,914.7722584546625
2.35,912.2148804227741
2.36,909.7078667633677
2.37,907.2510654761911
2.38,904.8443235837265
2.39,902.4874871462598
2.4,900.1804012769526
2.41,897.9229101568512
2.42,895.7148570498563
2.43,893.556084317657
2.44,891.4464334346235
2.45,889.3857450026369
2.46,887.3738587659097
2.47,885.4106136257083
2.48,883.4958476550698
2.49,881.6293981134501
2.5,879.8111014613152
2.51,878.0407933746877
2.52,876.3183087596416
2.53,874.6434817667277
2.54,873.0161458053562
2.55,871.4361335581134
2.56,869.9032769950184
2.57,868.4174073877224
2.58,866.9783553236499
2.59,865.585950720062
2.6,864.2400228380683
2.61,862.9404002965787
2.62,861.6869110861693
2.63,860.4793825828982
2.64,859.3176415620437
2.65,858.201514211782
2.66,857.1308261467843
2.67,856.1054024217486
2.68,855.1250675448567
2.69,854.1896454911569
2.7,853.2989597158867
2.71,852.4528331676919
2.72,851.6510883018012
2.73,850.8935470931026
2.74,850.1800310491527
2.75,849.5103612231053
2.76,848.884358226561
2.77,848.301842242333
2.78,847.762633037148
2.79,847.266549974243
2.8,846.813412025898
2.81,846.4030377858805
2.82,846.0352454818143
2.83,845.709852987446
2.84,845.4266778348476
2.85,845.185537226527
2.86,844.9862480474504
2.87,844.8286268769789
2.88,844.7124900007318
2.89,844.6376534223385
2.9,844.6039328751344
2.91,844.61114383374
2.92,844.6591015255689
2.93,844.7476209422438
2.94,844.8765168509244
2.95,845.0456038055457
2.96,845.2546961579623
2.97,845.5036080690055
2.98,845.7921535194606
2.99,846.1201463209363
3.0,846.4874001266554
3.01,846.8937284421511
3.02,847.338944635867
3.03,847.8228619496812
3.04,848.3452935093156
3.05,848.9060523346767
3.06,849.5049513500857
3.07,850.1418033944276
3.08,850.8164212312097
3.09,851.5286175585113
3.1,852.2782050188615
3.11,853.0649962090081
3.12,853.8888036896135
3.13,854.7494399948272
3.14,855.6467176417918
3.15,856.5804491400532
3.16,857.550447000857
3.17,858.5565237463834
3.18,859.59849191886
3.19,860.6761640895992
3.2,861.7893528679366
3.21,862.9378709100833
3.22,864.1215309278618
3.23,865.3401456973925
3.24,866.5935280676389
3.25,867.8814909688975
3.26,869.2038474211712
3.27,870.5604105424661
3.28,871.9509935569914
3.29,873.3754098032528
3.3,874.8334727420829
3.31,876.3249959645519
3.32,877.84979319981
3.33,879.4076783228037
3.34,880.9984653619504
3.35,882.6219685066832
3.36,884.2780021149081
3.37,885.9663807203954
3.38,887.6869190400537
3.39,889.4394319811341
3.4,891.2237346483187
3.41,893.0396423507548
3.42,894.8869706089646
3.43,896.7655351616968
3.44,898.6751519726643
3.45,900.6156372372059
3.46,902.5868073888582
3.47,904.5884791058473
3.48,906.6204693174676
3.49,908.682595210409
3.5,910.7746742349669
3.51,912.896524111189
3.52,915.047962834913
3.53,917.228808683741
3.54,919.4388802229141
3.55,921.6779963111053
3.56,923.9459761061402
3.57,926.242639070595
3.58,928.5678049773798
3.59,930.9212939151603
3.6,933.30292629375
3.61,935.7125228494045
3.62,938.1499046500362
3.63,940.6148931003252
3.64,943.1073099467959
3.65,945.6269772827612
3.66,948.1737175532361
3.67,950.7473535597188
3.68,953.3477084649392
3.69,955.9746057975049
3.7,958.6278694564774
3.71,961.3073237158651
3.72,964.0127932290313
3.73,966.7441030330623
3.74,969.501078553006
3.75,972.2835456060741
3.76,975.0913304057572
3.77,977.9242595658623
3.78,980.7821601044857
3.79,983.6648594478937
3.8,986.5721854343548
3.81,989.5039663178852
3.82,992.4600307719188
3.83,995.4402078929132
3.84,998.4443272038966
3.85,1001.4722186579149
3.86,1004.5237126414296
3.87,1007.5986399776564
3.88,1010.6968319298089
3.89,1013.818120204288
3.9,1016.9623369538156
3.91,1020.1293147804754
3.92,1023.3188867387228
3.93,1026.530886338274
3.94,1029.7651475470159
3.95,1033.0215047937481
3.96,1036.299792970956
3.97,1039.5998474374517
3.98,1042.9215040209922
3.99,1046.2645990208296
4.0,1049.6289692101805
