gamma,chi2_sn,chi2_bao
2.0,1406.2403871447611,167.16692820240328
2.01,1406.1618226067735,159.5539270473438
2.02,1406.0842629576075,152.4017373857016
2.03,1406.0077107156394,145.70786631524297
2.04,1405.9321683852886,139.4698206579866
2.05,1405.8576384569274,133.68510713012643
2.06,1405.7841234067882,128.35123250938562
2.07,1405.711625696868,123.46570380075524
2.08,1405.6401477748395,119.02602840046137
2.09,1405.5696920739547,115.0297142581147
2.1,1405.5002610129643,111.47427003709497
2.11,1405.4318569960228,108.35720527317798
2.12,1405.3644824125952,105.6760305313396
2.13,1405.298139637385,103.29753948646737
2.14,1405.23283103023,100.95685619423384
2.15,1405.1685589360288,98.64643113422525
2.16,1405.10532568465,96.36625898166068
2.17,1405.0431335908434,94.11633347345654
2.18,1404.9819849541718,91.89664741202174
2.19,1404.9218820589135,89.70719266909876
2.2,1404.8628271739824,87.54796018965699
2.21,1404.8048225528632,85.41893999582976
2.22,1404.7478704335085,83.32012119088537
2.23,1404.6919730382679,81.25149196327035
2.24,1404.6371325738191,79.21303959066677
2.25,1404.583351231082,77.20475044411646
2.26,1404.5306311851405,75.22660999217175
2.27,1404.4789745951734,73.27860280510373
2.28,1404.4283836043724,71.36071255913393
2.29,1404.3788603398712,69.47292204072636
2.3,1404.3304069126802,67.61521315090641
2.31,1404.2830254175958,65.78756690962335
2.32,1404.236717933149,63.989963460151984
2.33,1404.1914865215224,62.2223820735344
2.34,1404.1473332284902,60.48480115305356
2.35,1404.104260083334,58.77719823874871
2.36,1404.0622690987952,57.09955001196772
2.37,1404.021362270999,55.451832299948606
2.38,1403.9815415793755,53.8340200804407
2.39,1403.9428089866165,52.24608748636079
2.4,1403.905166438608,50.68800781047791
2.41,1403.8686158643454,49.15975351013325
2.42,1403.8331591759,47.66129621199623
2.43,1403.798798268341,46.192606716839066
2.44,1403.7655350196756,44.75365500435802
2.45,1403.733371290804,43.344410238013545
2.46,1403.7023089254362,41.96484076990194
2.47,1403.6723497500507,40.61491414565522
2.48,1403.643495573845,39.29459710937423
2.49,1403.6157481886598,38.00385560857758
2.5,1403.589109368939,36.74265479918791
2.51,1403.5635808716715,35.51095905053589
2.52,1403.5391644363376,34.308731950394815
2.53,1403.5158617848547,33.13593631003556
2.54,1403.493674621534,31.99253416930643
2.55,1403.4726046330215,30.878486801735818
2.56,1403.4526534882575,29.793754719656413
2.57,1403.433822838419,28.738297679354286
2.58,1403.4161143168767,27.712074686229716
2.59,1403.3995295391555,26.71504399998992
2.6,1403.3840701028735,25.747163139854294
2.61,1403.3697375877134,24.808388889776186
2.62,1403.3565335553697,23.89867730368975
