s0,chi2,dchi2
0.005,1772.5648415880614,0.0011765178319365077
0.01,1772.5684499015968,0.004784831367260267
0.015,1772.5745246870206,0.010859616791094595
0.02,1772.5830921911372,0.019427120907721473
0.025,1772.5942194559568,0.030554385727327826
0.03,1772.6079743575694,0.04430928733995643
0.035,1772.6244682481324,0.06080317790292611
0.04,1772.6450552025888,0.0813901323592745
0.045,1772.666179268678,0.10251419844848897
0.05,1772.6916235413578,0.12795847112829506
0.055,1772.720410588648,0.15674551841857465
0.06,1772.7540164582315,0.19035138800200002
0.065,1772.7926619290486,0.22899685881907317
0.07,1772.82889889532,0.2652338250904904
0.075,1772.8740305022077,0.3103654319781981
0.08,1772.921382796801,0.35771772657153633
0.085,1772.9787769160569,0.4151118458273686
0.09,1773.0331080919564,0.4694430217268746
0.095,1773.096919996922,0.5332549266925071
0.1,1773.1664307930666,0.6027657228371481
0.105,1773.2419703825349,0.6783053123053833
0.11,1773.3239675095451,0.7603024393156375
0.115,1773.4129004825293,0.8492354122997767
0.12,1773.5148289125145,0.951163842285041
0.125,1773.6131695753145,1.0495045050849967
0.13,1773.7254343070933,1.1617692368638473
0.135,1773.846440834706,1.2827757644765825
0.14,1773.9767097329411,1.413044662711627
0.145,1774.116785104578,1.553120034348467
0.15,1774.2672349648162,1.7035698945867352
0.155,1774.428651873059,1.864986802829435
0.16,1774.601653281832,2.0379882116023964
0.165,1774.786882181611,2.223217111381473
0.17,1774.985007524929,2.42134245469947
0.175,1775.1967250044042,2.633059934174753
0.18,1775.4227574692625,2.8590923990329884
0.185,1775.6638556366124,3.1001905663829348
0.19,1775.9207988091036,3.357133738874154
0.195,1776.194395478942,3.630730408712452
0.2,1776.4854840119767,3.921818941747233
0.205,1776.7949336202266,4.231268549997139
0.21,1777.1236448690906,4.55997979886115
0.215,1777.4725507081785,4.90888563794897
0.22,1777.8426172172492,5.278952147019709
0.225,1778.2348445422044,5.671179471974938
0.23,1778.650267785345,6.086602715115532
0.235,1779.0899580615144,6.52629299128489
0.24,1779.5550234102652,6.991358340035731
0.245,1780.0466098522734,7.482944782043887
0.25,1780.5659026392143,8.00223756898481
0.255,1781.1141272450243,8.550462174794802
0.26,1781.6925505696045,9.128885499374974
0.265,1782.3024822661864,9.738817195956926
0.27,1782.9452759424078,10.381610872178271
0.275,1783.6223306087684,11.05866553853889
0.28,1784.3350921336064,11.771427063376905
0.285,1785.085054353263,12.521389283033614
0.29,1785.8737612167863,13.310096146556816
0.295,1786.7028078602434,14.13914279001392
0.3,1787.5738425371605,15.010177466931054
0.305,1788.488568198954,15.924903128724509
0.31,1789.4487444590472,16.885079388817758
0.315,1790.4561896368527,17.89252456662325
0.32,1791.5127818517992,18.949116781569728
0.325,1792.620462728501,20.056797658271535
0.33,1793.7812379467534,21.217572876523946
0.335,1794.9971803160147,22.433515245785202
0.34,1796.270431961871,23.706766891641564
0.345,1797.6032066712523,25.039541601022847
0.35,1798.9977928151234,26.434127744893885
0.355,1800.4565553023106,27.892890232081072
0.36,1801.9819394486171,29.41827437838765
0.365,1803.5764730391309,31.01280796890137
0.37,1805.2427693052337,32.67910423500416
0.375,1806.9835312923158,34.419866222086284
0.38,1808.801553766116,36.23788869588657
0.385,1810.6997277854816,38.13606271525214
0.39,1812.6810438134387,40.1173787432092
0.395,1814.74859579473,42.18493072450042
0.4,1816.9055851631636,44.34192009293406
0.405,1819.155325117813,46.591660047583446
0.41,1821.5012449485964,48.93757987836693
0.415,1823.9468948083452,51.38322973811569
0.42,1826.4959505922743,53.93228552204482
0.425,1829.1522189670736,56.58855389684413
0.43,1831.9196428687706,59.35597779854106
0.435,1834.8023070486959,62.238641978466376
0.44,1837.8044442386959,65.24077916846636
0.445,1840.9304410453942,68.36677597516473
0.45,1844.1848448212754,71.62117975104593
0.455,1847.5723704329307,75.00870536270122
0.46,1851.0979075876828,78.53424251745332
0.465,1854.7665285673343,82.20286349710477
0.47,1858.5834958416328,86.01983077140335
0.475,1862.5542713499433,89.9906062797138
0.48,1866.6845248354273,94.12085976519779
0.485,1870.980143294154,98.41647822392451
0.49,1875.4472414860013,102.88357641577181
0.495,1880.0921718245577,107.52850675432819
0.5,1884.9215358760823,112.35787080585283
0.505,1889.9421959712026,117.37853090097315
