s0,chi2,dchi2
0.005,1417.9971185226768,0.004581938943147179
0.01,1418.0036452204781,0.011108636744438627
0.015,1418.0146745337881,0.02213795005445718
0.02,1418.0304338245533,0.03789724081957502
0.025,1418.0512416639838,0.05870508025009258
0.03,1418.077378726679,0.08484214294526282
0.035,1418.1196210695853,0.12708448585158294
0.04,1418.1447702986227,0.1522337148890074
0.045,1418.1887599265506,0.1962233428168929
0.05,1418.2334992662854,0.24096268255175346
0.055,1418.2857483250543,0.293211741320647
0.06,1418.3505122418433,0.35797565810958076
0.065,1418.4097083985807,0.4171718148470518
0.07,1418.4789073245959,0.4863707408621849
0.075,1418.5622324376695,0.5696958539358548
0.08,1418.6403616420891,0.6478250583554654
0.085,1418.7422145156888,0.7496779319551479
0.09,1418.8309649164673,0.8384283327336561
0.095,1418.934752008509,0.9422154247752133
0.1,1419.0515971720552,1.059060588321472
0.105,1419.1714508956748,1.178914311941071
0.11,1419.3045766885184,1.312040104784728
0.115,1419.4429988047473,1.450462221013595
0.12,1419.5989117640167,1.6063751802830666
0.125,1419.7795162090385,1.7869796253048662
0.13,1419.9871953945722,1.994658810838473
0.135,1420.2244056430795,2.231869059345854
0.14,1420.3008248479232,2.308288264189514
0.145,1420.5069990938605,2.5144625101268048
0.15,1420.7260133313348,2.7334767476011166
0.155,1420.9584756969118,2.9659391131781376
0.16,1421.205019885741,3.2124833020072856
0.165,1421.4663057476657,3.4737691639320474
0.17,1421.7430197944993,3.750483210765651
0.175,1422.035875795257,4.043339211523289
0.18,1422.3456154309242,4.353078847190545
0.185,1422.6730088979818,4.6804723142481635
0.19,1423.018855647672,5.026319063938217
0.195,1423.3839849179437,5.391448334210054
0.2,1423.769256761485,5.776720177751258
0.205,1424.1755625328126,6.18302594907891
0.21,1424.6038258380302,6.61128925429648
0.215,1425.05500328658,7.062466702846223
0.22,1425.530085503551,7.5375489198172545
0.225,1426.0300977873087,8.037561203575024
0.23,1426.5561013844724,8.563564800738732
0.235,1427.1091941636753,9.116657579941602
0.24,1427.690511901576,9.697975317842292
0.245,1428.3012289249182,10.308692341184496
0.25,1428.9425600200414,10.950023436307674
0.255,1429.6157607697712,11.623224186037532
0.26,1430.3221292691142,12.329592685380476
0.265,1431.0630069463195,13.070470362585866
0.27,1431.8397807189538,13.84724413522008
0.275,1432.6538830294091,14.661346445675463
0.28,1433.5067948629824,15.51425827924868
0.285,1434.4000460624918,16.40750947875813
0.29,1435.335217115136,17.342680531402266
0.295,1436.3139412671899,18.321404683456194
0.3,1437.3379056589758,19.34536907524216
0.305,1438.4088534067653,20.416316823031593
0.31,1439.5285852932077,21.536048709474017
0.315,1440.698961767694,22.70642518396039
0.32,1441.9219049781666,23.929368394432913
0.325,1443.199400776692,25.206864192958392
0.33,1444.5335009407077,26.540964356973973
0.335,1445.9263255174726,27.933788933738924
0.34,1447.38006524315,29.387528659416375
0.345,1448.8969836266483,30.904447042914626
0.35,1450.4794201236502,32.48688353991656
0.355,1452.129792773421,34.13725618968738
0.36,1453.8506005292659,35.858063945532194
0.365,1455.6444267883173,37.65189020458365
0.37,1457.5139422528362,39.52140566910248
0.375,1459.461908128397,41.46937154466332
0.38,1461.4911797218538,43.49864313812009
0.385,1463.6047098900294,45.612173306295745
0.39,1465.8055527474796,47.81301616374594
0.395,1468.0968675921818,50.10433100844807
0.4,1470.481923034598,52.48938645086423
0.405,1472.9641013123585,54.9715647286248
0.41,1475.5469024453068,57.55436586157316
0.415,1478.2339496588256,60.24141307509194
0.42,1481.0289936204556,63.03645703672191
0.425,1483.9359179836695,65.94338139993579
0.43,1486.958744761827,68.96620817809321
0.435,1490.1016399516477,72.10910336791403
0.44,1493.3689198429515,75.37638325921785
0.445,1496.765056914595,78.77252033086143
0.45,1500.2946867313424,82.3021501476087
0.455,1503.9626151357218,85.97007855198808
0.46,1507.7738246489125,89.78128806517884
0.465,1511.73348381829,93.74094723455642
0.47,1515.8469536263246,97.85441704259097
0.475,1520.1197973985968,102.12726081486312
0.48,1524.5577890138743,106.56525243014062
0.485,1529.1669229935474,111.17438640981368
0.49,1533.9534238698857,115.960887286152
0.495,1538.923757821455,120.93122123772127
0.5,1544.084642947867,126.09210636413331
0.505,1549.4430614699043,131.45052488617057
0.51,1555.0062724096742,137.01373582594056
0.515,1560.7818245569117,142.78928797317803
0.52,1566.7775706342306,148.78503405049696
0.525,1573.0016820824178,155.00914549868412
0.53,1579.462664778941,161.47012819520728
0.535,1586.169375713392,168.17683912965822
0.54,1593.1310406700645,175.13850408633084
0.545,1600.3572727338737,182.36473615014006
0.55,1607.8580926464792,189.86555606274555
0.555,1615.6439495927252,197.65141300899154
0.56,1623.7257437518786,205.73320716814487
0.565,1632.114850302274,214.12231371854023
0.57,1640.8231445844901,222.83060800075646
0.575,1649.863029801642,231.87049321790823
0.58,1659.2474653054844,241.25492872175073
0.585,1668.9899976460247,250.997461062291
0.59,1679.1047940841167,261.11225750038307
0.595,1689.6066754152512,271.6141388315175
0.6,1700.511157952645,282.5186213689112
0.605,1711.8344894009072,293.8419528171735
0.61,1723.5936935491072,305.60115696537355
0.615,1735.8066174059081,317.81408082217445
0.62,1748.4919792259113,330.49944264217766
0.625,1761.6694222700767,343.676885686343
0.63,1775.359571959416,357.36703537568224
0.635,1789.5840970887512,371.59156050501747
0.64,1804.365776124213,386.3732395404793
0.645,1819.728567868775,401.73603128504124
0.65,1835.6976897646532,417.7051531809195
0.655,1852.2996975679396,434.3071609842059
0.66,1869.5625800213377,451.570043437604
0.665,1887.5158505469474,469.5233139632137
0.67,1906.190656334316,488.19811975058224
0.675,1925.6198890175879,507.6273524338542
0.68,1945.8383112730353,527.8457746893016
0.685,1966.88268887684,548.8901522931062
0.69,1988.7919381146974,570.7994015309637
0.695,2011.6072847010803,593.6147481173466
0.7,2035.372438042209,617.3799014584754
0.705,2060.1337807388254,642.1412441550917
0.71,2085.940577114237,667.9480405305032
0.715,2112.8451991341376,694.8526625504039
0.72,2140.903379892127,722.9108433083932
0.725,2170.17448481427,752.1819482305361
0.73,2200.7218158221835,782.7292792384499
0.735,2232.6129447369203,814.6204081531866
0.74,2265.920079991921,847.9275434081871
0.745,2300.7204783003094,882.7279417165757
0.75,2337.0968922310212,919.1043556472875
0.755,2375.1380746505047,957.145538066771
0.76,2414.939337149479,996.9468005657452
0.765,2456.60317320495,1038.6106366212164
0.77,2500.239954992704,1082.2474184089704
0.775,2545.968714078202,1127.9761774944684
0.78,2593.918018198743,1175.9254816150094
0.785,2644.226957466066,1226.2344208823322
0.79,2697.046258000366,1279.0537214166322
0.795,2752.5395448026798,1334.547008218946
0.8,2810.88476798168,1392.8922313979463
